[2025-12-28 08:53:32,915][INFO] root: Logging initialized at INFO level. Log file: data/logs/divine_world.log
[2025-12-28 16:00:19,233][INFO] packager: ✅ Found frontend at: /home/devlord/divine-world-core/dw_agent/electron/react-app
[2025-12-28 16:00:19,237][INFO] auto_packager: 📦 Packaging worker started
[2025-12-28 16:00:19,238][INFO] auto_packager: AutoPackaging system initialized (output: /home/devlord/divine-world-core/npc_applications)
[2025-12-28 16:00:19,245][INFO] auto_packager: Auto-packaging enabled
[2025-12-28 16:00:19,245][INFO] dw_backend: Enhanced Agent Manager initialized with binary protocol
[2025-12-28 16:00:19,245][INFO] auto_connect: AutoConnect System initialized
[2025-12-28 16:00:19,245][INFO] auto_connect:   Agents Folder: npc_applications
[2025-12-28 16:00:19,246][INFO] auto_connect:   Server: 127.0.0.1:25565
[2025-12-28 16:00:19,260][INFO] auto_connect: ✅ Auto-connect system integrated with backend
[2025-12-28 16:00:19,350][INFO] dw_backend: ✅ Chat system imported successfully
[2025-12-28 16:00:19,353][INFO] dw_backend: 🌉 WebSocket Chat Bridge initialized
[2025-12-28 16:00:19,356][INFO] dw_backend: ✅ Chat system bridged to main WebSocket handlers
[2025-12-28 16:00:28,393][WARNING] dw_backend: S3 client initialization failed: Could not connect to the endpoint URL: "http://127.0.0.1:9000/divine-world"
[2025-12-28 16:00:30,276][INFO] root: Logging initialized at INFO level. Log file: data/logs/divine_world.log
[2025-12-28 16:00:30,277][INFO] agent_spawner: AgentClientManager initialized with Minecraft support: /home/devlord/divine-world-core/DWClientBot/build/libs/DWClientBot.jar
[2025-12-28 16:00:30,277][INFO] agent_spawner: AgentSpawner initialized in MINECRAFT mode
[2025-12-28 16:00:30,278][INFO] packager: ✅ Found frontend at: /home/devlord/divine-world-core/dw_agent/electron/react-app
[2025-12-28 16:00:30,279][INFO] auto_packager: 📦 Packaging worker started
[2025-12-28 16:00:30,279][INFO] auto_packager: AutoPackaging system initialized (output: /home/devlord/divine-world-core/npc_applications)
[2025-12-28 16:00:30,279][INFO] auto_packager: Auto-packaging enabled
[2025-12-28 16:00:30,280][INFO] dw_backend: Enhanced Agent Manager initialized with binary protocol
[2025-12-28 16:00:30,280][INFO] auto_connect: AutoConnect System initialized
[2025-12-28 16:00:30,280][INFO] auto_connect:   Agents Folder: npc_applications
[2025-12-28 16:00:30,280][INFO] auto_connect:   Server: 127.0.0.1:25565
[2025-12-28 16:00:30,282][INFO] auto_connect: ✅ Auto-connect system integrated with backend
[2025-12-28 16:00:30,282][INFO] dw_backend: ✅ Chat system imported successfully
[2025-12-28 16:00:30,282][INFO] dw_backend: 🌉 WebSocket Chat Bridge initialized
[2025-12-28 16:00:30,282][INFO] dw_backend: ✅ Chat system bridged to main WebSocket handlers
[2025-12-28 16:00:32,961][WARNING] dw_backend: S3 client initialization failed: Could not connect to the endpoint URL: "http://127.0.0.1:9000/divine-world"
[2025-12-28 16:05:21,369][INFO] root: Logging initialized at INFO level. Log file: data/logs/divine_world.log
[2025-12-28 16:05:21,521][INFO] frontend_builder: Using npm at: /usr/bin/npm
[2025-12-28 16:05:22,854][INFO] agent_spawner: AgentClientManager initialized with Minecraft support: /home/devlord/divine-world-core/DWClientBot/build/libs/DWClientBot.jar
[2025-12-28 16:05:22,854][INFO] agent_spawner: AgentSpawner initialized in MINECRAFT mode
[2025-12-28 16:05:22,854][INFO] packager: ✅ Found frontend at: /home/devlord/divine-world-core/dw_agent/electron/react-app
[2025-12-28 16:05:22,855][INFO] auto_packager: 📦 Packaging worker started
[2025-12-28 16:05:22,855][INFO] auto_packager: AutoPackaging system initialized (output: /home/devlord/divine-world-core/npc_applications)
[2025-12-28 16:05:22,855][INFO] auto_packager: Auto-packaging enabled
[2025-12-28 16:05:22,855][INFO] dw_backend: Enhanced Agent Manager initialized with binary protocol
[2025-12-28 16:05:22,855][INFO] auto_connect: AutoConnect System initialized
[2025-12-28 16:05:22,856][INFO] auto_connect:   Agents Folder: npc_applications
[2025-12-28 16:05:22,856][INFO] auto_connect:   Server: 127.0.0.1:25565
[2025-12-28 16:05:22,859][INFO] auto_connect: ✅ Auto-connect system integrated with backend
[2025-12-28 16:05:23,063][INFO] dw_backend: ✅ Chat system imported successfully
[2025-12-28 16:05:23,064][INFO] dw_backend: 🌉 WebSocket Chat Bridge initialized
[2025-12-28 16:05:23,064][INFO] dw_backend: ✅ Chat system bridged to main WebSocket handlers
[2025-12-28 16:05:27,707][WARNING] dw_backend: S3 client initialization failed: Could not connect to the endpoint URL: "http://127.0.0.1:9000/divine-world"
[2025-12-28 16:05:28,366][INFO] root: Logging initialized at INFO level. Log file: data/logs/divine_world.log
[2025-12-28 16:05:28,367][INFO] agent_spawner: AgentClientManager initialized with Minecraft support: /home/devlord/divine-world-core/DWClientBot/build/libs/DWClientBot.jar
[2025-12-28 16:05:28,368][INFO] agent_spawner: AgentSpawner initialized in MINECRAFT mode
[2025-12-28 16:05:28,369][INFO] packager: ✅ Found frontend at: /home/devlord/divine-world-core/dw_agent/electron/react-app
[2025-12-28 16:05:28,370][INFO] auto_packager: 📦 Packaging worker started
[2025-12-28 16:05:28,370][INFO] auto_packager: AutoPackaging system initialized (output: /home/devlord/divine-world-core/npc_applications)
[2025-12-28 16:05:28,371][INFO] auto_packager: Auto-packaging enabled
[2025-12-28 16:05:28,371][INFO] dw_backend: Enhanced Agent Manager initialized with binary protocol
[2025-12-28 16:05:28,371][INFO] auto_connect: AutoConnect System initialized
[2025-12-28 16:05:28,371][INFO] auto_connect:   Agents Folder: npc_applications
[2025-12-28 16:05:28,372][INFO] auto_connect:   Server: 127.0.0.1:25565
[2025-12-28 16:05:28,375][INFO] auto_connect: ✅ Auto-connect system integrated with backend
[2025-12-28 16:05:28,375][INFO] dw_backend: ✅ Chat system imported successfully
[2025-12-28 16:05:28,376][INFO] dw_backend: 🌉 WebSocket Chat Bridge initialized
[2025-12-28 16:05:28,376][INFO] dw_backend: ✅ Chat system bridged to main WebSocket handlers
[2025-12-28 16:05:36,073][WARNING] dw_backend: S3 client initialization failed: Could not connect to the endpoint URL: "http://127.0.0.1:9000/divine-world"
[2025-12-28 19:31:07,630][INFO] root: Logging initialized at INFO level. Log file: data/logs/divine_world.log
[2025-12-28 19:31:10,339][INFO] frontend_builder: Using npm at: /usr/bin/npm
[2025-12-28 19:31:14,378][INFO] agent_spawner: AgentClientManager initialized with Minecraft support: /home/devlord/divine-world-core/DWClientBot/build/libs/DWClientBot.jar
[2025-12-28 19:31:14,379][INFO] agent_spawner: AgentSpawner initialized in MINECRAFT mode
[2025-12-28 19:31:14,615][INFO] packager: ✅ Found frontend at: /home/devlord/divine-world-core/dw_agent/electron/react-app
[2025-12-28 19:31:14,791][INFO] auto_packager: 📦 Packaging worker started
[2025-12-28 19:31:14,791][INFO] auto_packager: AutoPackaging system initialized (output: /home/devlord/divine-world-core/npc_applications)
[2025-12-28 19:31:14,792][INFO] auto_packager: Auto-packaging enabled
[2025-12-28 19:31:14,792][INFO] dw_backend: Enhanced Agent Manager initialized with binary protocol
[2025-12-28 19:31:14,792][INFO] auto_connect: AutoConnect System initialized
[2025-12-28 19:31:14,792][INFO] auto_connect:   Agents Folder: npc_applications
[2025-12-28 19:31:14,792][INFO] auto_connect:   Server: 127.0.0.1:25565
[2025-12-28 19:31:14,797][INFO] auto_connect: ✅ Auto-connect system integrated with backend
[2025-12-28 19:31:16,344][INFO] dw_backend: ✅ Chat system imported successfully
[2025-12-28 19:31:16,344][INFO] dw_backend: 🌉 WebSocket Chat Bridge initialized
[2025-12-28 19:31:16,345][INFO] dw_backend: ✅ Chat system bridged to main WebSocket handlers
[2025-12-28 19:31:40,707][WARNING] dw_backend: S3 client initialization failed: Could not connect to the endpoint URL: "http://127.0.0.1:9000/divine-world"
[2025-12-28 19:32:26,005][INFO] root: Logging initialized at INFO level. Log file: data/logs/divine_world.log
[2025-12-28 19:32:26,916][INFO] agent_spawner: AgentClientManager initialized with Minecraft support: /home/devlord/divine-world-core/DWClientBot/build/libs/DWClientBot.jar
[2025-12-28 19:32:26,916][INFO] agent_spawner: AgentSpawner initialized in MINECRAFT mode
[2025-12-28 19:32:27,302][INFO] packager: ✅ Found frontend at: /home/devlord/divine-world-core/dw_agent/electron/react-app
[2025-12-28 19:32:27,419][INFO] auto_packager: 📦 Packaging worker started
[2025-12-28 19:32:27,419][INFO] auto_packager: AutoPackaging system initialized (output: /home/devlord/divine-world-core/npc_applications)
[2025-12-28 19:32:27,420][INFO] auto_packager: Auto-packaging enabled
[2025-12-28 19:32:27,420][INFO] dw_backend: Enhanced Agent Manager initialized with binary protocol
[2025-12-28 19:32:27,420][INFO] auto_connect: AutoConnect System initialized
[2025-12-28 19:32:27,420][INFO] auto_connect:   Agents Folder: npc_applications
[2025-12-28 19:32:27,420][INFO] auto_connect:   Server: 127.0.0.1:25565
[2025-12-28 19:32:28,191][INFO] auto_connect: ✅ Auto-connect system integrated with backend
[2025-12-28 19:32:28,192][INFO] dw_backend: ✅ Chat system imported successfully
[2025-12-28 19:32:28,192][INFO] dw_backend: 🌉 WebSocket Chat Bridge initialized
[2025-12-28 19:32:28,192][INFO] dw_backend: ✅ Chat system bridged to main WebSocket handlers
[2025-12-28 19:32:42,778][WARNING] dw_backend: S3 client initialization failed: Could not connect to the endpoint URL: "http://127.0.0.1:9000/divine-world"
[2025-12-28 19:38:29,419][INFO] root: Logging initialized at INFO level. Log file: data/logs/divine_world.log
[2025-12-28 19:38:31,237][INFO] frontend_builder: Using npm at: /usr/bin/npm
[2025-12-28 19:38:35,521][INFO] agent_spawner: AgentClientManager initialized with Minecraft support: /home/devlord/divine-world-core/DWClientBot/build/libs/DWClientBot.jar
[2025-12-28 19:38:35,551][INFO] agent_spawner: AgentSpawner initialized in MINECRAFT mode
[2025-12-28 19:38:35,586][INFO] packager: ✅ Found frontend at: /home/devlord/divine-world-core/dw_agent/electron/react-app
[2025-12-28 19:38:35,586][INFO] auto_packager: 📦 Packaging worker started
[2025-12-28 19:38:35,587][INFO] auto_packager: AutoPackaging system initialized (output: /home/devlord/divine-world-core/npc_applications)
[2025-12-28 19:38:35,587][INFO] auto_packager: Auto-packaging enabled
[2025-12-28 19:38:35,588][INFO] dw_backend: Enhanced Agent Manager initialized with binary protocol
[2025-12-28 19:38:35,589][INFO] auto_connect: AutoConnect System initialized
[2025-12-28 19:38:35,593][INFO] auto_connect:   Agents Folder: npc_applications
[2025-12-28 19:38:35,597][INFO] auto_connect:   Server: 127.0.0.1:25565
[2025-12-28 19:38:35,627][INFO] auto_connect: ✅ Auto-connect system integrated with backend
[2025-12-28 19:38:35,957][INFO] dw_backend: ✅ Chat system imported successfully
[2025-12-28 19:38:35,957][INFO] dw_backend: 🌉 WebSocket Chat Bridge initialized
[2025-12-28 19:38:35,958][INFO] dw_backend: ✅ Chat system bridged to main WebSocket handlers
[2025-12-28 19:38:47,881][WARNING] dw_backend: S3 client initialization failed: Could not connect to the endpoint URL: "http://127.0.0.1:9000/divine-world"
[2025-12-28 19:38:48,556][INFO] root: Logging initialized at INFO level. Log file: data/logs/divine_world.log
[2025-12-28 19:38:48,557][INFO] agent_spawner: AgentClientManager initialized with Minecraft support: /home/devlord/divine-world-core/DWClientBot/build/libs/DWClientBot.jar
[2025-12-28 19:38:48,558][INFO] agent_spawner: AgentSpawner initialized in MINECRAFT mode
[2025-12-28 19:38:48,559][INFO] packager: ✅ Found frontend at: /home/devlord/divine-world-core/dw_agent/electron/react-app
[2025-12-28 19:38:48,559][INFO] auto_packager: 📦 Packaging worker started
[2025-12-28 19:38:48,561][INFO] auto_packager: AutoPackaging system initialized (output: /home/devlord/divine-world-core/npc_applications)
[2025-12-28 19:38:48,561][INFO] auto_packager: Auto-packaging enabled
[2025-12-28 19:38:48,561][INFO] dw_backend: Enhanced Agent Manager initialized with binary protocol
[2025-12-28 19:38:48,562][INFO] auto_connect: AutoConnect System initialized
[2025-12-28 19:38:48,562][INFO] auto_connect:   Agents Folder: npc_applications
[2025-12-28 19:38:48,562][INFO] auto_connect:   Server: 127.0.0.1:25565
[2025-12-28 19:38:48,568][INFO] auto_connect: ✅ Auto-connect system integrated with backend
[2025-12-28 19:38:48,568][INFO] dw_backend: ✅ Chat system imported successfully
[2025-12-28 19:38:48,568][INFO] dw_backend: 🌉 WebSocket Chat Bridge initialized
[2025-12-28 19:38:48,569][INFO] dw_backend: ✅ Chat system bridged to main WebSocket handlers
[2025-12-28 19:38:59,104][WARNING] dw_backend: S3 client initialization failed: Could not connect to the endpoint URL: "http://127.0.0.1:9000/divine-world"
[2025-12-28 19:39:13,085][INFO] dw_backend: [Divine] Genesis invoked by console
[2025-12-28 19:39:13,086][INFO] dw_backend: Creating demo agent: genesis_1
[2025-12-28 19:39:13,191][ERROR] cassandra.cluster: Compression is enabled, but no compression libraries are available. Disabling compression, consider installing one of the Python packages: lz4 and/or python-snappy.
[2025-12-28 19:39:13,343][WARNING] cassandra.cluster: [control connection] Error connecting to 127.0.0.1:9042:
Traceback (most recent call last):
  File "cassandra/cluster.py", line 3547, in cassandra.cluster.ControlConnection._connect_host_in_lbp
  File "cassandra/cluster.py", line 3593, in cassandra.cluster.ControlConnection._try_connect
  File "cassandra/cluster.py", line 1648, in cassandra.cluster.Cluster.connection_factory
  File "cassandra/connection.py", line 858, in cassandra.connection.Connection.factory
  File "/home/devlord/divine-world-core/py_backend/dw_env/lib/python3.13/site-packages/cassandra/io/libevreactor.py", line 272, in __init__
    self._connect_socket()
    ~~~~~~~~~~~~~~~~~~~~^^
  File "cassandra/connection.py", line 980, in cassandra.connection.Connection._connect_socket
ConnectionRefusedError: [Errno 111] Tried connecting to [('127.0.0.1', 9042)]. Last error: Connection refused
[2025-12-28 19:39:13,358][WARNING] cassandra.cluster: [control connection] Error connecting to 127.0.0.1:9042:
Traceback (most recent call last):
  File "cassandra/cluster.py", line 3547, in cassandra.cluster.ControlConnection._connect_host_in_lbp
  File "cassandra/cluster.py", line 3593, in cassandra.cluster.ControlConnection._try_connect
  File "cassandra/cluster.py", line 1648, in cassandra.cluster.Cluster.connection_factory
  File "cassandra/connection.py", line 858, in cassandra.connection.Connection.factory
  File "/home/devlord/divine-world-core/py_backend/dw_env/lib/python3.13/site-packages/cassandra/io/libevreactor.py", line 272, in __init__
    self._connect_socket()
    ~~~~~~~~~~~~~~~~~~~~^^
